AUTHORS,TITLE,DOI,VENUE
"Todd Sedano, Paul Ralph, Cécile Péraire",Software development waste.,10.1109/ICSE.2017.20,ICSE2017
"Francisco Servant, James A. Jones",Fuzzy fine-grained code-history analysis.,10.1109/ICSE.2017.74,ICSE2017
"August Shi, Suresh Thummalapenta, Shuvendu K. Lahiri, Nikolaj Bjørner, Jacek Czerwonka",Optimizing test placement for module-level regression testing.,10.1109/ICSE.2017.69,ICSE2017
"Mozhan Soltani, Annibale Panichella, Arie van Deursen",A guided genetic algorithm for automated crash reproduction.,10.1109/ICSE.2017.27,ICSE2017
"Linhai Song, Shan Lu",Performance diagnosis for inefficient loops.,10.1109/ICSE.2017.41,ICSE2017
"Sabrina Souto, Marcelo d&apos;Amorim, Rohit Gheyi",Balancing soundness and efficiency for practical testing of configurable systems.,10.1109/ICSE.2017.64,ICSE2017
"Guoxin Su, Taolue Chen, Yuan Feng, David S. Rosenblum",ProEva - runtime proactive performance evaluation based on continuous-time markov chains.,10.1109/ICSE.2017.51,ICSE2017
