AUTHORS,TITLE,DOI,Venue
"Tong Wu, Qingshan Li, Lu Wang",A Validation Method of Self-Adaptive Strategy Based on POMDP,,ICSME2019
"Christian D. Newman, Anthony Peruma, Reem S. Alsuhaibani",Modeling the Relationship Between Identifier Name and Behavior,,ICSME2019
Michael D. Shah,Lib Metamorphosis: A Performance Analysis Framework for Exchanging Data Structures in Performance Sensitive Applications,,ICSME2019
"Stanislav Levin, Amiram Yehudai",Processing Large Datasets of Fined Grained Source Code Changes,,ICSME2019
"Petru Florin Mihancea, Roger Scott",CodeSonar (R) Extension for Copy-Paste-(Mis) Adapt Error Detection,,ICSME2019
"Tam Nguyen, Phong Vu, Tung Nguyen",Recommending Exception Handling Code,,ICSME2019
"Zhipeng Gao, Vinoj Jayasundara, Lingxiao Jiang, Xin Xia, David Lo, John C. Grundy",SmartEmbed: A Tool for Clone and Bug Detection in Smart Contracts through Structural Code Embedding,,ICSME2019
