AUTHORS,TITLE,DOI,VENUE
"Satia Herfert, Jibesh Patra, Michael Pradel",Automatically reducing tree-structured test inputs.,10.1109/ASE.2017.8115697,ASE2017
"Yoshiki Higo, Akio Ohtani, Shinji Kusumoto",Generating simpler AST edit scripts by considering copy-and-paste.,10.1109/ASE.2017.8115664,ASE2017
"Jianjun Huang, Yousra Aafer, David Mitchel Perry, Xiangyu Zhang, Chen Tian",UI driven Android application reduction.,10.1109/ASE.2017.8115642,ASE2017
"Emilio Incerto, Mirco Tribastone, Catia Trubiani",Software performance self-adaptation through efficient model predictive control.,10.1109/ASE.2017.8115660,ASE2017
"Pooyan Jamshidi, Norbert Siegmund, Miguel Velez, Christian Kästner, Akshay Patel, Yuvraj Agarwal",Transfer learning for performance modeling of configurable systems - an exploratory analysis.,10.1109/ASE.2017.8115661,ASE2017
"Siyuan Jiang, Ameer Armaly, Collin McMillan",Automatically generating commit messages from diffs using neural machine translation.,10.1109/ASE.2017.8115626,ASE2017
"Bo Jiang, Yuxuan Wu, Teng Li, W. K. Chan",SimplyDroid - efficient event sequence simplification for Android application.,10.1109/ASE.2017.8115643,ASE2017
