AUTHORS,TITLE,DOI,VENUE
"Jie Wang, Wensheng Dou, Yu Gao, Chushu Gao, Feng Qin, Kang Yin, Jun Wei",A comprehensive study on real world concurrency bugs in Node.js.,10.1109/ASE.2017.8115663,ASE2017
"Weihang Wang, Yonghwi Kwon, Yunhui Zheng, Yousra Aafer, I Luk Kim, Wen-Chuan Lee, Yingqi Liu, Weijie Meng, Xiangyu Zhang, Patrick Eugster",PAD - programming third-party web advertisement censorship.,10.1109/ASE.2017.8115637,ASE2017
"Zizhe Wang, Hailong Sun, Yang Fu, Luting Ye",Recommending crowdsourced software developers in consideration of skill improvement.,10.1109/ASE.2017.8115682,ASE2017
"Shuai Wang, Dinghao Wu",In-memory fuzzing for binary code similarity analysis.,10.1109/ASE.2017.8115645,ASE2017
"Yuexing Wang, Min Zhou, Yu Jiang, Xiaoyu Song, Ming Gu, Jiaguang Sun",A static analysis tool with optimizations for reachability determination.,10.1109/ASE.2017.8115706,ASE2017
"Aaron Weiss, Arjun Guha, Yuriy Brun",Tortoise - interactive system configuration repair.,10.1109/ASE.2017.8115673,ASE2017
"Qi Xin, Steven P. Reiss",Leveraging syntax-related code for automated program repair.,10.1109/ASE.2017.8115676,ASE2017
