AUTHORS,TITLE,DOI,VENUE
"Ryota Mibe, Tadashi Tanaka, Takashi Kobayashi, Shingo Kobayashi",Business process recovery based on system log and information of organizational structure.,10.1109/SANER.2017.7884668,SANER2017
"Patrick Neubauer, Robert Bill, Tanja Mayerhofer, Manuel Wimmer",Automated generation of consistency-achieving model editors.,10.1109/SANER.2017.7884615,SANER2017
"Christian D. Newman, Reem S. Alsuhaibani, Michael L. Collard, Jonathan I. Maletic",Lexical categories for source code identifiers.,10.1109/SANER.2017.7884624,SANER2017
"Ana Filipa Nogueira, José Carlos Bregieiro Ribeiro, Mário Alberto Zenha-Rela",Trends on empty exception handlers for Java open source libraries.,10.1109/SANER.2017.7884644,SANER2017
"Dario Di Nucci, Fabio Palomba, Antonio Prota, Annibale Panichella, Andy Zaidman, Andrea De Lucia","Software-based energy profiling of Android apps - Simple, efficient and reliable?",10.1109/SANER.2017.7884613,SANER2017
"Haidar Osman, Andrei Chis, Jakob Schaerer, Mohammad Ghafari, Oscar Nierstrasz",On the evolution of exception usage in Java projects.,10.1109/SANER.2017.7884646,SANER2017
"Michiel Overeem, Marten Spoor, Slinger Jansen",The dark side of event sourcing - Managing data conversion.,10.1109/SANER.2017.7884621,SANER2017
