AUTHORS,TITLE,DOI,VENUE
"Rohit Sinha, Sriram K. Rajamani, Sanjit A. Seshia",A compiler and verifier for page access oblivious computation.,10.1145/3106237.3106248,FSE2017
"Rabe Abdalkareem, Olivier Nourry, Sultan Wehaibi, Suhaib Mujahid, Emad Shihab",Why do developers use trivial packages? an empirical case study on npm.,10.1145/3106237.3106267,FSE2017
"Gojko Adzic, Robert Chatley",Serverless computing - economic and architectural impact.,10.1145/3106237.3117767,FSE2017
"Amir Shayan Ahmadian, Sven Peldszus, Qusai Ramadan, Jan Jürjens",Model-based privacy and security analysis with CARiSMA.,10.1145/3106237.3122823,FSE2017
"Maryam Raiyat Aliabadi, Amita Ajith Kamath, Julien Gascon-Samson, Karthik Pattabiraman",ARTINALI - dynamic invariant detection for cyber-physical system security.,10.1145/3106237.3106282,FSE2017
"Dalal Alrajeh, Liliana Pasquale, Bashar Nuseibeh",On evidence preservation requirements for forensic-ready systems.,10.1145/3106237.3106308,FSE2017
"Mojtaba Bagherzadeh, Nicolas Hili, Juergen Dingel","Model-level, platform-independent debugging in the context of the model-driven development of real-time systems.",10.1145/3106237.3106278,FSE2017
