AUTHORS,TITLE,DOI,Venue
"Jamie Stevenson, Murray I. Wood",Inheritance usage patterns in open-source systems,,ICSE2018
"Igor Steinmacher, Gustavo Pinto, Igor Scaliante Wiese, Marco Aurélio Gerosa",Almost there: a study on quasi-contributors in open source software projects,,ICSE2018
"Yanxin Lu, Swarat Chaudhuri, Chris Jermaine, David Melski",Program splicing,,ICSE2018
"David Trabish, Andrea Mattavelli, Noam Rinetzky, Cristian Cadar",Chopped symbolic execution,,ICSE2018
"Chengnian Sun, Yuanbo Li, Qirun Zhang, Tianxiao Gu, Zhendong Su",Perses: syntax-guided program reduction,,ICSE2018
"Mahmoud Hammad, Joshua Garcia, Sam Malek",A large-scale empirical study on the effects of code obfuscations on Android apps and anti-malware products,,ICSE2018
"Nemitari Ajienka, Andrea Capiluppi, Steve Counsell",An empirical study on the interplay between semantic coupling and co-change of software classes,,ICSE2018
